Season,Name,Team,PA,O-Swing%,Swing%,Pull%,CStr%,CSW%,BB%+,K%+,SLG+,ISO+,BABIP+,LD+%,GB%+,FB%+,HR/FB%+,Pull%+,Hard%+,OBP+,NameASCII,PlayerId,MLBAMID
2016,"Jabari Blash","SDP",84,0.264,0.4463,0.4054,0.168,0.3471,151.54298266884587,197.2879612923892,76.15878297276446,93.9616335487922,86.87882218767786,76.46129154550661,102.83037244464713,110.92789914925902,167.4434153282662,103.88005374628845,117.88736866899406,90.14197392032783,"Jabari Blash",11247,518466
2020,"Ehire Adrianza","MIN",101,0.2882,0.4631,0.3333,0.1552,0.2266,120.34405487138511,95.85542216402251,65.10012022730737,45.87655595236121,88.43803105033747,114.7399188837267,86.58324312220442,107.12833965781563,0,80.70126113625443,83.76505114411611,90.14124827895151,"Ehire Adrianza",8418,501303
2009,"Jose Lopez","SEA",653,0.3542,0.5514,0.5289,0.1432,0.2159,41.713990652488036,60.690702718360676,107.97385030474386,117.89552767187368,89.88305723375728,99.3948683530793,95.52885829458234,105.1918531743183,105.54668700333193,128.72219540347822,97.72280982626437,90.13949608025442,"Jose Lopez",3114,430946
2018,"Tyler Austin","- - -",268,0.3244,0.5058,0.3816,0.1474,0.3313,85.4016826289403,162.6648434430448,115.0998346340423,149.8729133563668,98.17603946335069,111.57061372619508,90.10724628569452,104.75800525118805,230.3077311143681,92.91303212955594,102.04002888164037,90.13839195695682,"Tyler Austin",11850,592122
2003,"Damian Rolls","TBD",404,0.2701,0.465,0.4592,0.192,0.292,56.93709780064714,132.38640163854598,85.08100653372239,68.35879311673939,104.90457786005119,112.03619182513502,106.12796430292492,84.813844351361,73.51325800789621,102.74358135452546,96.4502486979974,90.13554056597931,"Damian Rolls",1222,150390
2013,"Brandon Barnes","HOU",445,0.3483,0.5088,0.3287,0.1636,0.3049,57.9930220023019,144.980798998774,85.22290196277346,70.67512317654729,109.78732129500798,93.92293686925517,111.15818120871315,89.98712607488464,83.571513893556,82.70885115990193,84.95956181104718,90.13223961421838,"Brandon Barnes",629,488681
2016,"Steven Moya","DET",100,0.4353,0.5804,0.4211,0.0793,0.2517,62.34491451606671,183.94453972981657,117.96375675802618,147.03494578212454,122.33560016212279,128.79251944586977,87.7049464579842,98.67159526042968,192.1554357916245,102.87542036760445,133.77664147981298,90.12620892977696,"Steven Moya",11854,570615
2013,"Ramon Hernandez","LAD",55,0.3273,0.4158,0.4048,0.1842,0.2474,136.49552771844722,67.07991120823338,109.1888324112694,160.33713489441627,59.871767906284404,89.45693940578123,121.49791694883628,77.86603892396415,265.02820846478085,105.18131967577295,101.74541877949224,90.12444374283247,"Ramon Hernandez",918,150421
2013,"Sean Halton","MIL",111,0.358,0.4941,0.3194,0.1616,0.2998,56.360765940415824,147.19594432528686,98.84137563472609,110.83611068022124,99.57351596215132,92.60683159207575,93.74609640638926,113.06029246108615,143.96594064056492,83.01074743193607,123.26848834530072,90.12444374283247,"Sean Halton",9853,488936
2012,"Josh Thole","NYM",354,0.2805,0.4574,0.3043,0.1925,0.2542,92.40981844705007,73.55598549572153,70.02540863207699,36.69190344904848,90.02137634463331,89.18633468393136,127.65494238249724,69.69509258424455,14.26159209308139,78.05211427790293,78.78454279220075,90.119926803924,"Josh Thole",9689,489365
2002,"Sandy Alomar Jr.","- - -",296,0.2417,0.5144,0.4862,0.149,0.2354,34.54374669719546,68.39151707625575,96.5606702067178,81.46434762061774,99.94439510838788,95.56064218026488,109.21829618816015,90.80584299706302,79.905881406447,111.93096844201358,73.23596976268759,90.11867811405041,"Sandy Alomar Jr.",221,110184
2012,"James Loney","- - -",465,0.3364,0.4797,0.3601,0.1673,0.2242,73.31998708577335,57.11565945911347,81.38161740781145,57.03975212357354,89.3416987237483,117.91831419295494,101.80364225109074,86.67181340215585,47.23193493342794,91.61941536644379,83.27209089758784,90.10671285827958,"James Loney",4556,425766
2002,"Jimmy Rollins","PHI",705,0.1607,0.4249,0.443,0.186,0.2557,82.082902153058,89.40767484509395,89.81543535334062,85.89979549975371,92.83305028081605,94.30927758289407,99.8052294249272,103.72091462944934,53.291814137425206,103.83757442982342,104.53875468846267,90.10581889341934,"Jimmy Rollins",971,276519
2003,"Chris Singleton","OAK",341,0.2255,0.4348,0.4517,0.2054,0.2819,92.30857928674112,102.69605624002438,79.307535695339,58.93807323260426,98.20834308312737,123.27706010628037,100.00996842619818,84.82558493166094,12.04217161076818,101.07746916276889,96.60358745365518,90.10257946023506,"Chris Singleton",170,150334
2009,"Nick Green","BOS",309,0.3621,0.549,0.4009,0.1352,0.2836,73.46072364506362,128.25575662080084,85.28507065649829,80.56851490578816,96.29352380108838,99.04481975064921,88.9744986869896,112.54506996418903,63.32801163204703,97.58400706756926,75.21170745338415,90.09627371143404,"Nick Green",1502,407797
2010,"Scott Sizemore","DET",163,0.2593,0.4336,0.3981,0.1905,0.2857,108.1007393019961,140.58053148273964,82.32777726468271,75.9443897747057,97.13124924439484,124.07884148722374,86.28376308718691,104.42214291718521,78.37121072839932,99.61174930312322,86.82493945952288,90.09591091685466,"Scott Sizemore",2881,502003
2011,"James Darnell","SDP",52,0.2583,0.4233,0.35,0.1581,0.214,114.19981334663989,73.4563581427761,82.66498581169785,77.05828616219782,79.19075116307724,64.40818317126116,110.20489880197574,107.1707300002615,70.25730756571932,88.55603172982566,71.0737819378245,90.09025581015229,"James Darnell",9060,543083
2004,"Dan Wilson","SEA",359,0.1613,0.4566,0.3491,0.1754,0.252,85.22234324219437,97.09011081804873,71.45978075844643,36.37809565909381,98.17341630989327,128.27705845684645,94.6600623730599,91.2221584595808,20.28864821900365,78.57346794501635,83.99538729587054,90.0744040083442,"Dan Wilson",1102,124383
2012,"Ryan Wheeler","ARI",119,0.3558,0.4625,0.3295,0.1604,0.25,91.63326575811531,96.27798600067884,82.0451591308349,66.03420455724786,94.73358564074366,108.1046479720094,108.06689382413121,84.14890460307257,36.50967575828836,84.51422102608154,90.21000688807148,90.0684591824337,"Ryan Wheeler",9312,572253
2021,"Andrew Stevenson","WSN",213,0.3318,0.482,0.3209,0.1596,0.2844,66.44544017820299,128.41166311651935,80.53861734930587,63.803041044821526,104.27105661561937,97.07427429411989,115.30176571160358,83.73204052671593,93.70007851144764,79.74897805123268,99.89145959873285,90.06720891238187,"Andrew Stevenson",17932,664057
2016,"Luis Sardinas","- - -",197,0.3797,0.5047,0.3897,0.1664,0.2783,70.94674487177724,118.33610499457727,83.67817270479958,67.20148569820752,103.13283646303178,83.46764280216097,122.03288773236022,81.61664720188804,83.78509955246382,98.54382770070063,83.06045379323596,90.06495240859762,"Luis Sardinas",13153,596143
2018,"Andrew Knapp","PHI",215,0.2766,0.473,0.4035,0.1517,0.309,124.38398398778054,161.6783560275432,75.64271334586489,72.02278265955596,100.74414793216198,118.48759336889432,88.764888851015,102.34815746887678,78.09571244837171,100.36632533899382,90.29038019624326,90.06107136609735,"Andrew Knapp",14942,595284
2021,"Kyle Seager","SEA",670,0.3296,0.4953,0.435,0.1382,0.2749,103.89985776133348,105.03796744015546,105.31086105923539,132.84033344091574,77.60360525205816,84.7224588104512,75.55029374881688,136.45199730839246,114.70752357897413,108.00778375248944,114.30485524372673,90.06015724361741,"Kyle Seager",9785,572122
2017,"Chad Pinder","OAK",309,0.3173,0.5167,0.342,0.1408,0.285,69.16303574691315,139.82024074935205,106.41292029914602,126.60337789888109,98.07526081204081,94.4718509612031,94.56301762386252,109.54192421741489,141.60750469309204,84.24145013064373,102.68671495600476,90.04807362032298,"Chad Pinder",15191,640461
