player_name,MLBAMID,Season,BIP,xHR,xBACON,xSLGCON,EV81,EV96,best_speed,hard_hit_rate
"Nido, Tomás",621512,2020,18,1.2485851480341097,0.35931296791467404,0.5761062225799031,98.58000000000001,105.52,96.39285714285714,0.27586206896551724
"Cowart, Kaleb",592230,2016,62,1.2482959495587769,0.2670598062536409,0.33944504227578626,96.876,105.008,94.90816326530613,0.2222222222222222
"Trevino, Jose",624431,2019,95,1.236930271469698,0.31357299602149347,0.36260593106034883,97.414,104.71600000000001,94.11733333333333,0.24
"Toles, Andrew",592808,2018,22,1.2333535585903093,0.3406779325821183,0.5182397925380205,95.805,99.62,94.73333333333333,0.25
"Alford, Anthony",546990,2020,20,1.2289561643661173,0.23464854722842574,0.42402698967737396,95.525,103.8,92.53076923076922,0.23076923076923078
"Mejias-Brean, Seth",623180,2019,21,1.2252000594400974,0.3209928265284924,0.5110514944156966,99.66,104.88,96.22666666666667,0.25806451612903225
"Adrianza, Ehire",501303,2020,65,1.2217572128852998,0.2778075227370629,0.34973791928534115,90.35400000000001,99.892,89.94848484848485,0.14074074074074075
"Hwang, Jae-Gyun",666561,2017,37,1.2166279656039851,0.2657425262134623,0.3687998283329175,92.3,100.85999999999999,91.42,0.13114754098360656
"Lavarnway, Ryan",543432,2019,13,1.2013258295960156,0.35509224837789166,0.6655212801152331,96.456,103.99600000000001,93.23333333333333,0.25
"Díaz, Elias",553869,2017,150,1.2007875729968664,0.3059099388619264,0.3450032547424591,95.8,104.888,93.41496062992125,0.2204724409448819
"Taylor, Chris",621035,2016,44,1.198816251846,0.3136479371989315,0.40688586419914774,93.44,103.25200000000001,93.021875,0.16923076923076924
"Motter, Taylor",600301,2018,26,1.1968580795149961,0.26186966376665693,0.40664845183024584,96.763,103.77199999999999,92.00952380952381,0.23809523809523808
"Strange-Gordon, Dee",543829,2017,522,1.19654235951571,0.29526301447687475,0.3091958704049102,90.7,97.00399999999999,88.7251798561151,0.07913669064748201
"Bandy, Jett",542908,2018,36,1.1927698000036484,0.29904797119605875,0.4049348618576895,93.07,102.41199999999999,90.17045454545455,0.13636363636363635
"Barnes, Austin",605131,2020,65,1.1901753126004069,0.3096372820150394,0.3720122372179471,96.471,103.988,94.05964912280702,0.24561403508771928
